id,loss
131822,1428.7848186766016
131823,1494.247073440332
131824,2946.539297621166
131825,1476.1233357438132
131826,1495.979194388962
131827,2362.447253564691
131828,1465.197509332548
131829,1518.6060744171932
131830,2070.191947196492
131831,1495.979194388962
131832,1419.8727770949583
131833,1476.1233357438132
131834,1476.1233357438132
131835,1369.8313539256903
131836,1419.8727770949583
131837,1518.6060744171932
131838,1476.1233357438132
131839,1201.4971463179274
131840,1419.8727770949583
131841,1398.8239194386226
131842,2415.8596926577106
131843,1162.244235478623
131844,3149.4915964727234
131845,1368.0331415148091
131846,3000.36689493729
131847,1082.1290170331138
131848,2040.6255207825893
131849,1323.686322918667
131850,1465.197509332548
131851,1356.8230244294646
131852,1315.5551861806398
131853,1476.1233357438132
131854,1302.6185187465267
131855,1518.6060744171932
131856,1368.0331415148091
131857,1419.8727770949583
131858,5914.1377469847575
131859,1398.8239194386226
131860,2885.337208738169
131861,1419.8727770949583
131862,1476.1233357438132
131863,1135.032435651634
131864,2528.5251956227094
131865,1476.1233357438132
131866,1495.979194388962
131867,1465.197509332548
131868,1494.247073440332
131869,2110.7043667326857
131870,1476.1233357438132
131871,4280.310917373146
131872,1201.4971463179274
131873,1766.7217201104772
131874,1428.7848186766016
131875,1162.244235478623
131876,1660.4770688038298
131877,3114.624995753878
131878,1809.8411015542094
131879,1465.197509332548
131880,2266.485279652247
131881,1398.8239194386226
131882,1465.197509332548
131883,1494.247073440332
131884,1023.193323737381
131885,1501.3684217781024
131886,1476.1233357438132
131887,1398.8239194386226
131888,2415.8596926577106
131889,5914.1377469847575
131890,1135.032435651634
131891,1476.1233357438132
131892,1766.7217201104772
131893,1465.197509332548
131894,2340.1687470629436
131895,1879.6674120162377
131896,2260.9507782614196
131897,1398.8239194386226
131898,1398.8239194386226
131899,1398.8239194386226
131900,1660.4770688038298
131901,2040.6255207825893
131902,1766.7217201104772
131903,2347.0538641074154
131904,1660.4770688038298
131905,1419.8727770949583
131906,1660.4770688038298
131907,1476.1233357438132
